description,url,Couleur,price,Age,Couleur du véhicule,Puissance fiscale,Kilométrage,Cylindrée moto,Superficie,Etat du véhicule,title,Modèle,Boite,Etat,Marque,Genre,Année,Carburant,Type de transaction,Type de carrosserie,Salles de bains,Livraison,Chambres,Cylindrée
tres bonne etat hyndai i10,https://www.tayara.tn/item/voitures/tunis/ain-zaghouen/voiture/69ac9ca444d2819959560121/,,31500,,Gris,5,146000,,,Nouveau,voiture,Coupe,Manuelle,,Hyundai,,2016,Essence,,Berline,,,,1.2L
"A vendre Citroën Xsara HDI.
Voiture retapée.
Climatisation .
Vitres électriques .
Fermeture centralisée .
what’s up
79",https://www.tayara.tn/item/voitures/gabs/mareth/citroen-xsara/69ad2adda7464602a76f26c5/,,16000,,Gris,06,260000,,,Avec kilométrage,Citroen Xsara,Xsara,Manuelle,,Citroen,,2003,Diesel,,Berline,,,,2.0L
"🌟✨ Voiture unique sur le marché 🌟✨

 ✨ Configuration exclusive✨

🔹Marque : Volkswagen
🔹 Modèle : Touareg
🔹 Année : 2013 
🔹 Motorisation : Essence 
🔹 Chevaux fiscaux : 19 cv
🔹 Boîte de vitesses : Automatique 8 rapports Tiptronic
🔹 Kilométrage : 72 000 km certifié
🔹 Série : TU 249
🔹 Couleur : Gris (finition premium)
🔹 Intérieur : Cuir Nappa marron
🔹 Version : Carat avec une Configuration Exclusive

 Points forts & équipements

✅ Motorisation puissante avec une très belle sonorité

✅ Finition Carat avec Configuration exclusive intérieure & extérieure

✅ Entretien régulier chez Volkswagen 

✅ Toit ouvrant panoramique

✅ Suspension pneumatique

✅ Jantes Exclusives en aluminium

✅ Feux Full Xénon 

✅ Phares directionnels adaptatifs

✅ Sièges électriques à mémoires

✅ Sièges chauffants

✅ Sièges ventilés

✅ Volant en bois

✅ Système multimédia grand écran

✅ Keyless Access (système d'accès sans clé) pour déverrouillage et démarrage 

✅ Bluetooth / Radio / CD / DVD

✅ TV intégrée

✅ Climatisation automatique 4-zone

✅ Volant multifonctions

✅ Caméras 360 degrés 

✅ Capteurs de stationnement

✅ Véhicule très propre, état exceptionnel

⭐ Pourquoi choisir ce véhicule ?

Une Touareg unique et très statutaire alliant luxe, performance et, avec une configuration exclusive de chez Volkswagen Arabie Saoudite 🇸🇦 , idéal pour ceux qui veulent le confort , l’unicité et l’exclusivité sur la route avec un SUV très imposant et unique.

📞",https://www.tayara.tn/item/voitures/tataouine/tataouine-nord/volkswagen-touareg-36-fsi-configuration-exclusive-de-/69ac723a44d281995955e7cd/,,1234,,Gris,19,72000,,,Nouveau,Volkswagen Touareg 3.6 FSI Configuration exclusive de 🇸🇦,Touareg,Automatique,,Volkswagen,,2013,Essence,,4 x 4,,,,3.5L
"voiture trés propre 
repond de prix par telephone
Afficher le numéro",https://www.tayara.tn/item/voitures/gabs/mareth/vente-voiture/69ae892544d281995956c244/,,,,Bleu,4,,,,,vente voiture,,,,,,1996,Essence,,Autres,,,,>4.0L
"Voiture importée directement de France en 2022.
Moteur 1.6 économique et fiable.
Mise en circulation : 15/10/2019.
Première main, bien entretenue et en très bon état.",https://www.tayara.tn/item/voitures/sousse/hergla/citron-berlingo-16-premire-main-importe-de-france-2022/69ad8ad1a7464602a76f4ee5/,,57000,,Gris,,104800,,,Avec kilométrage,Citroën Berlingo 1.6 – Première Main – Importée de France 2022,Berlingo,Manuelle,,Citroen,,,,,,,,,1.6L
"Citroën B9
voiture tout d'origine 
pneu neuf
climatiseur fonctionnel",https://www.tayara.tn/item/voitures/sfax/sfax-ville/citron-b9/69ae42d644d281995956ad05/,,29000,,Blanc,6,293000,,,Avec kilométrage,Citroën B9,Berlingo,Manuelle,,Citroen,,2013,Diesel,,Berline,,,,1.9L
"GOLF 7 TDI 1.6 BLUMATION 5CV IMPORTÉ MODÈLE 2015 KILOMÉTRAGE 199 VOITURE À L'ETA D'OREGON TÉLÉ
Afficher le numéro",https://www.tayara.tn/item/voitures/mdenine/djerba-houmt-souk/golf-7-tdi-26-925-629/69abe26ba7464602a76e908e/,,0,,Noir,5,199,,,Avec kilométrage,GOLF 7 TDI 26 925 629,Golf 7,Manuelle,,Volkswagen,,2015,Diesel,,Compacte,,,,1.6L
toyota hiace 3 places commercial,https://www.tayara.tn/item/voitures/tunis/sidi-el-bchir/voiture-vendre/69ac5807a7464602a76ecb08/,,19,,,,-1,,,,voiture à vendre,,,,,,,,,,,,,
Vente de voiture de femme.. première main.. faible kilométrage.. entretien maison..toutes options.. climatisation..radar de recul.. caméra.. écran tactile..Gps .. jantes aluminium,https://www.tayara.tn/item/voitures/ben-arous/mgrine/voiture-en-tat-parfait/69ab349244d2819959556667/,,1,,Doré,,88000,,,Avec kilométrage,Voiture en état parfait,,Manuelle,,Geely,,2020,Essence,,,,,,1.2L
"Peugeot 301 en très bon état, 1ère main, voiture fiable et économique, confortable à conduire. Intérieur propre, climatisation automatique, direction assistée, vitres électriques.......
Pour plus d’informations, merci de me contacter
Afficher le numéro
NB: PRIX NEGOCIABLE",https://www.tayara.tn/item/voitures/sousse/sousse-jawhara/peugeot-301/69abe8c8a7464602a76e93d7/,,23000,,Autre,5,133,,,Avec kilométrage,Peugeot 301,301,Manuelle,,Peugeot,,2015,Essence,,Compacte,,,,1.2L
"Voiture Toyota C-HR en très bon état, bien entretenue, avec historique de service.
Parfaite pour la ville ou longs trajets, fiable et économique.
✨ Options & Équipements :
✔ Boîte automatique CVT
✔ Ecran tactile multimédia
✔ Apple CarPlay / Android Auto
✔ Bluetooth + USB
✔ Commandes au volant
✔ Caméra de recul
✔ Capteurs de stationnement
✔ Vitres électriques
✔ Climatisation automatique
✔ Sièges confortables
🛠 Entretien :
✔ Révisions régulières
✔ Aucun accident majeur
✔ Contrôle technique OK",https://www.tayara.tn/item/voitures/tunis/mutuelleville/vente-chr-en-tres-bon-etat/69ac571ca7464602a76ecaa3/,,76000,,Rouge,6,64000,,,Avec kilométrage,VENTE C-HR EN TRES BON ETAT,C-HR,Automatique,,Toyota,,2020,Essence,,Autres,,,,1.2L
"une voiture R21 diesel nevada en bon etat :
Tél :
Afficher le numéro",https://www.tayara.tn/item/voitures/tozeur/nefta/r21-diesel-nevada/69ab5441a7464602a76e64f3/,,0,,Blanc,0,0,,,Avec kilométrage,R21 diesel nevada,R21,Manuelle,,Renault,,0,Diesel,,Autres,,,,2.0L
je met en vente une paire de phares pour bmw x5 e53 2003 phase1,https://www.tayara.tn/item/pi%c3%a8ces-et-accessoires-pour-v%c3%a9hicules/bizerte/menzel-bourguiba/phares-de-voiture/69ab5d7b44d2819959557bfe/,,500,,,,,,,,phares de voiture,,,,,,,,,,,Oui,,
"à vendre voiture importé d'Allemagne Dacia Duster puissance 05 chv machya 100000km année 2023 essence moteur 1,2 boite manuelle...
Toutes options 
Prix : 58000 Dt
Mon num:",https://www.tayara.tn/item/voitures/sousse/sahloul/dacia-duster-import/69abe5c144d281995955a40b/,,58000,,Rouge,5,100000,,,Avec kilométrage,Dacia Duster importé,Duster,Manuelle,,Dacia,,2023,Essence,,Berline,,,,1.2L
"Voiture neuf encore dans l'emballage
Seulement 35000km
Âgé 12 mois 
Encore sur leasing ( 4 ans ) 
3 places
Moteur 1.6 ehdi
Voiture disponible a Tunis
Possible vente comptant
Téléphone
( noumrou moulaha ) 
Svp pour plus d'informations seulement par téléphone",https://www.tayara.tn/item/voitures/tunis/tunis-belvedere/leasing/69aadf7d44d281995955472a/,,0,,Gris,5,35000,,,Nouveau,Leasing,Doblo,Manuelle,,Fiat,,2025,Diesel,,Utilitaire,,,,1.6L
"location voiture commercial dacia dokkerà tunis pour langue dure avec caution 1700d/mois
Afficher le numéro",https://www.tayara.tn/item/voitures/ariana/mnihla/location-voiture-commercial-94920058/69ac585b44d281995955dcc5/,,1700,,Blanc,7,200,,,Avec kilométrage,location voiture commercial 94920058,Dokker,Manuelle,,Dacia,,2018,Diesel,,Utilitaire,,,,1.4L
"une belle voiture neuve très propre peinture d'origine impeccable zéro faute G.S.M :
Afficher le numéro",https://www.tayara.tn/item/voitures/mdenine/djerba-midoun/mercedes-c200/69ab3ea3a7464602a76e59d6/,,60,,Noir,11,200,,,Nouveau,Mercedes c200,220,Automatique,,Mercedes-Benz,,2012,Essence,,Cabriolet,,,,1.6L
"Voiture hyundai i20 61000km
Première main 
Entretien à 🏡 
Année 2020",https://www.tayara.tn/item/voitures/tunis/autres-villes/hyundai-i20-2020/69ac0dfa44d281995955ba29/,,44500,,Noir,5,61000,,,Avec kilométrage,Hyundai i20 2020,I 20,Manuelle,,Hyundai,,2020,Essence,,Berline,,,,
"🚗À vendre Dacia Dokker 🚘
✅ voiture très propre bien entretenu
✅toutes options
✅année 2018 tu 2023
✅1.6
✅ 6cv
✅ Diesel
☎️",https://www.tayara.tn/item/autres-/sfax/sfax/avendre-dacia-dokker/69aae76b44d2819959554a2e/,,0,,,,,,,,Avendre dacia dokker,,,,,,,,,,,,,
"tél:
Afficher le numéro",https://www.tayara.tn/item/voitures/nabeul/hammamet/voiture-en-bon-tat-99958728/69abf9b6a7464602a76e9cd4/,,32000,,Blanc,5,158,,,Nouveau,voiture en bon état 99958728,208,Manuelle,,Peugeot,,2020,Essence,,,,,,1.2L
"vente voiture Peugeot bipper 5 places noir

tel
Afficher le numéro",https://www.tayara.tn/item/voitures/mahdia/mahdia/vente-voiture-peugeot-bipper-5-places/69ac4d22a7464602a76ec577/,,29500,,Noir,5,205,,,Avec kilométrage,vente voiture Peugeot bipper 5 places,Bipper,Manuelle,,Peugeot,,2013,Essence,,Compacte,,,,1.4L
"A Vendre Appart 3é étage .s+2+cuisine +SDB + sechoir-mancher- + Balcon. 
 + abri de voiture .vue sur mer et foret cité enassim .appt jamais habité.
. .bon voisinage.zone calme 5mn a pied du centre ville .2mn par voiture.Tabarka
.5 mn de la plage
 
zone calme bon voisinage....",https://www.tayara.tn/item/appartements/jendouba/tabarka/beau-appt/69abf64ea7464602a76e9acb/,,111111111,,,,,,100,,beau Appt.,,,,,,,,À Vendre,,01,,03,
عجلة جديدة وسومها قابل للنقاش باش نبيع خاطر عندي عملية لمرتي,https://www.tayara.tn/item/pi%c3%a8ces-et-accessoires-pour-v%c3%a9hicules/tunis/el-ouardia/-roue-de-voiture/69ac1044a7464602a76ea995/,,450,,,,,,,,عجلة جديدة roue de voiture,,,,,,,,,,,,,
"A LOUER STUDIO MEUBLER S+2 AVEC UNE GRANDE CUISINE ET ENTREE GARAGE POUR VOITURE A 3 MINUTE DE LA PLAGE 
GSM :
Afficher le numéro
A SOLIMAN PLAGE.
Location par année ( 350 dinars par mois )",https://www.tayara.tn/item/locations-de-vacances/nabeul/soliman/a-louer-studio-meubler-s2-plage-soliman/69abc92944d28199595598f3/,,350,,,,,,120,,A LOUER STUDIO MEUBLER S+2 PLAGE SOLIMAN,,,,,,,,À Louer,,1,,3,
Karhba behia ne9sa chwaya retouche,https://www.tayara.tn/item/voitures/ariana/la-soukra/voiture-doccasion/69ac4dec44d281995955d77b/,,10500,,Gris,4,,,,Avec kilométrage,Voiture d'occasion,Saxo,Manuelle,,Citroen,,2001,Essence,,Berline,,,,1.2L
"Je met en vente ma KIA RIO Coupé 5P Première main jamais accidenté (avec carnet d'entretien) et dispose d'une peinture d'origine Noir
Direction Assistée 
Airbus
Vitres avant et arrière électriques 
Jantes en Alliagee
Retroviseures rabattables électriquement 
commande au volant
Bluetooth 
Ordinateur de bord 
Climatiseur 
GPS
 ...",https://www.tayara.tn/item/voitures/monastir/monastir/voiture/69ac423044d281995955d216/,,35000,,Noir,5,190000,,,Avec kilométrage,VOITURE,Rio,Manuelle,,Kia,,2014,Essence,,Compacte,,,,1.2L
"Dacia Logan année 2023 voiture neufff état original. 

Peinture d'origine
Climatiseur
Détecteur de lumière
Régulateur et limiteur de vitesse
Écran tactile Android et Bluetooth 
Caméra de recul 
Volant multifonction
Esp/abs

Téléphone :",https://www.tayara.tn/item/voitures/sfax/sfax/dacia-logan-anne-202392-515-934/69ab237fa7464602a76e4caa/,,1,,Bleu,5,117000,,,Nouveau,Dacia Logan année 2023 92 515 934,Logan,Manuelle,,Dacia,,2023,Essence,,Berline,,,,<1.0L
je met en vente mon voiture kia sportage 2019 toute neuf,https://www.tayara.tn/item/voitures/bja/tboursouk/voiture-kia-sportage/69ac6dafa7464602a76ed3fd/,,85000,,Noir,6,86000,,,Avec kilométrage,voiture kia Sportage,Sportage,Manuelle,,Kia,,2019,Diesel,,Autres,,,,1.6L
"Voiture en très bon état.
Un véhicule familial et bien prestigieux.
Pour plus d'informations contactez
Afficher le numéro",https://www.tayara.tn/item/voitures/ben-arous/el-mourouj/mercedes-glk/69ab04bf44d2819959555559/,,55000,,Blanc,10,108000,,,Avec kilométrage,Mercedes glk,Classe GLK,Automatique,,Mercedes-Benz,,2010,Diesel,,4 x 4,,,,2.0L
Voiture télécommandée de type tout-terrain,https://www.tayara.tn/item/meubles-et-d%c3%a9coration/mdenine/mdenine-sud/voiture-tlcommande-de-type-toutterrain/69ac6a5ea7464602a76ed24c/,,65,,,,,,,,Voiture télécommandée de type tout-terrain,,,,,,,,,,,Oui,,
Je met en vente ma voiture,https://www.tayara.tn/item/voitures/nabeul/klibia/a-vendre-fiat-panda-modle-2015/69ab2673a7464602a76e4dde/,,24,,Bleu,,250,,,,A vendre fiat panda modèle 2015,Panda,,,Fiat,,2015,Essence,,Autres,,,,
voiture et moto électrique avec une seule batterie et un chargeur,https://www.tayara.tn/item/trottinette-%c3%a9lectrique/tunis/tunis/voiture-et-moto-lectiques/69abfc3644d281995955b0a6/,,150,,,,,,,,voiture et moto électiques,,,,,,,,,,,Oui,,
"À vendre Mercedes A 250e 2023 hybride en excellent état, seulement 120 km au compteur voiture puissante et économique avec 8 CV 
Entretien à jour jamais accidenté
Je ne réponds pas aux messages, uniquement par téléphone :
Afficher le numéro",https://www.tayara.tn/item/voitures/zaghouan/el-fahs/mercedes-a-250e-anne-2023/69ac36eb44d281995955cd6a/,,0,,Gris,8,120,,,Avec kilométrage,Mercedes A 250e année 2023,250,Automatique,,Mercedes-Benz,,2023,Hybride,,Compacte,,,,1.3L
"A vendre , une MAZDA 6 SKYACTIVE , essence , 08CV, avec Toit Pano ouvrant, modèle année 02/2018 , avec 145 500 km au compteur.
Prix légèrement négociable.
Pour voir la voiture et plus de détails, merci d'appeler au
Afficher le numéro",https://www.tayara.tn/item/voitures/monastir/tboulba/mazda-6-skyactive/69ac1ec544d281995955c1c5/,,55000,,Gris,8,145500,,,Avec kilométrage,MAZDA 6 SKYACTIVE,6,Automatique,,Mazda,,2018,Essence,,Berline,,,,
"GOLF 7 
-model 2014' importé en 2019 série 245

-1.6 mazot 5 chevaux

-boit vitesse 6 rapports

zzz voiture neuf

Salon neuf

Climatronic

Volant cuir

Limiteur/Régulateur de vitesse

Capteurs avant/arrières

Frein à main électrique

Poste origine tactile (bleutooth-auxiliare-usb)
ABS 
park auto

Auto hold

ESP/anti patinage

Accoudoir av/arr

Jantes par 16

Voiture en excellente état",https://www.tayara.tn/item/voitures/monastir/tboulba/volkswagen-golf7-16-gasoil-boit-6-bluemotion/69ac315ea7464602a76eb9a0/,,1,,Gris,5,296,,,Avec kilométrage,Volkswagen Golf7 1.6 gasoil Boit 6. BLUEMOTION,Golf,Manuelle,,Volkswagen,,2014,Diesel,,Berline,,,,1.6L
"peugeot 607 Très bonne état tout en marche boite automatique 
Année 2004 
Tel
Afficher le numéro",https://www.tayara.tn/item/services/monastir/ksar-hellal/vendue-de-voiture/69ab185244d2819959555a97/,,0,,,,,,,,Vendue de Voiture,,,,,,,,,,,,,
"Passat cc
Année 2010
8 cheveaux 
2 litre tdi
1er main
4 portes
Tout option :
Vitesse automatique
Toit ouvrant
Cuir 
Kilometrage : 450000 km
Prix : 38000 DT",https://www.tayara.tn/item/voitures/tunis/tunis/vente-voiture/69a92ddc44d2819959548e9e/,,38000,,Noir,,450000,,,Nouveau,vente voiture,Autres,Automatique,,Autres,,2010,Diesel,,Autres,,,,2.0L
a vendre,https://www.tayara.tn/item/voitures/ben-arous/ben-arous/voiture/69a9c7e544d281995954d8a6/,,11,,Blanc,6,1254,,,Avec kilométrage,voiture,Polo,Manuelle,,Volkswagen,,2002,Diesel,,Berline,,,,1.4L
"🚗 À Vendre – Citroën C4 Phase 2
🔹 Année : Fin 2016
🔹 Motorisation : 1.2 turbo Essence – 3 cylindres – 6 CV 
🔹 Kilométrage : 170 000 km
✅ Voiture propre et très bien entretenue
✅ Peinture d’origine
✅ Vitres électriques
✅ Capteurs de recul
✅ Conduite confortable et économique
📞 Contact :
Voiture visible sur rendez-vous. Sérieux uniquement",https://www.tayara.tn/item/voitures/la-manouba/djedeida/citron-c4/69a9df1344d281995954e2cc/,,31000,,Noir,6,170000,,,Avec kilométrage,Citroën C4,C4,Manuelle,,Citroen,,2016,Essence,,Autres,,,,1.2L
"Je mets en Vente 
Voiture Personel 
1 ère main 
Faible kilométrage 
Peinture d'origine 
directe propriétaire 
curieux s'abstenir",https://www.tayara.tn/item/voitures/sfax/sakiet-eddaer/kia-rio-gt-line/69a1ad70d0d74c5f580b42f7/,,61000,,Gris,5,80000,,,Avec kilométrage,KIA RIO GT LINE,Rio,Manuelle,,Kia,,2022,Essence,,Compacte,,,,1.2L
32000,https://www.tayara.tn/item/voitures/sfax/route-manzel-chaker/voiture/69a9c882a7464602a76dc504/,,32000,,Blanc,0,270000,,,Avec kilométrage,voiture,Sprinter,Manuelle,,Mercedes-Benz,,2013,Diesel,,Autres,,,,>4.0L
"Voiture très bien entretenu 
Pneus neufs 1500000km 
année 2017
Régulateur de vitesse 
Limiteur de vitesse",https://www.tayara.tn/item/voitures/tunis/tunis/clio-4/69aa0ba9a7464602a76de6c1/,,38000,,Bleu,4,150000,,,Avec kilométrage,Clio 4,Clio,Manuelle,,Renault,,2017,Essence,,Berline,,,,1.2L
"Commander votre Voiture de l'Allemagne Directement 
FCR 
BATEAU ⛵⛵ 
Conseil d'achat 
TAX FREE
EXPORT
Profitez Sans se Déplacer !",https://www.tayara.tn/item/voitures/sousse/khzema/mercedes-benz/69a906cda7464602a76d7340/,,400,,Noir,2.1,0007,,,Nouveau,Mercedes Benz,Pathfinder,Automatique,,Nissan,,2024,Hybride Diesel,,Compacte,,,,2.0L
"Vente voiture en tres bonne etat, HYUNDAI Grand I10 Rouge serie 235.
Pour toutes informations et verification a tous moments
Afficher le numéro",https://www.tayara.tn/item/voitures/sousse/sousse-jawhara/vente-hyundai-grand-i10/69a85121955b06eb3eeb495d/,,40000,,Rouge,05,120000,,,Avec kilométrage,Vente Hyundai Grand I10,I 10,Manuelle,,Hyundai,,2023,Essence,,,,,,1.2L
a vendre,https://www.tayara.tn/item/voitures/ben-arous/ben-arous/voiture-29041840/69a9dc3b44d281995954e14c/,,11,,Blanc,6,14251,,,Avec kilométrage,voiture #29041840,Polo,Manuelle,,Volkswagen,,20026,Diesel,,Compacte,,,,1.4L
"A vendre, voiture de direction, une très belle Chery TIGGO 7 PRO toute options, en excellent état, entretenu chez maison Shery.
Date de la 1ére mise en circulation 06/12/
Afficher le numéro
km -Toutes options. 
Pour plus d’information, veuillez contacter
Afficher le numéro",https://www.tayara.tn/item/voitures/ariana/les-jardins-el-menzah-2/chery-tiggo-7-pro-voiture-de-direction/69a85743d0d74c5f580d50d3/,,69000,,Gris,9,97000,,,Avec kilométrage,"Chery TIGGO 7 PRO, Voiture de direction",Tiggo,Automatique,,Chery,,2021,Essence,,4 x 4,,,,1.5L
"A vendre voiture importée de France qui n'a roulé que 51000 KLM ,Annee' 2013 bien entretenu avec carnet d'entretien, première main,non fumeur ,climatiseurs,detecteurs,peinture d'origine,avec toutes les fonctions.visite sur RDV Tel:
Afficher le numéro
Sur WhatsApp
Afficher le numéro
33",https://www.tayara.tn/item/voitures/sousse/chatt-mariem/dacia-stepway-importe-de-france/69aa62e6a7464602a76dfd18/,,39500,,Bleu,5,51000,,,Avec kilométrage,Dacia Stepway importée de France,Sandero,Manuelle,,Dacia,,2013,Essence,,Autres,,,,<1.0L
"- Voiture de direction Volvo S60 Noir métallisée 
- Année 2009
- État neuf 
- Très bien entretenu
- Jantes Alu 18 po
- Intérieur Cuir Gris
- Appuis tête conducteur et passagers
- Siège électrique coté conducteur
- Radio / Lecteur CD 
- Motorisation puissante : 180Ch Din / 11 Ch fiscaux 
- Vitesse max affichée 260Km
- Consommation en cycle mixte 9 litres / 100 
- Elle a très peu roulé
- Kilométrage : 89 000KM
- Convient parfaitement à toute personne qui fait de la route, 
- Prix : 39 000DT",https://www.tayara.tn/item/voitures/ariana/charguia-2/voiture-de-direction-volvo-s60/69a83072d0d74c5f580d4159/,,39000,,Noir,11,90000,,,Avec kilométrage,Voiture de Direction Volvo S60,S60,Automatique,,Volvo,,2009,Essence,,,,,,
doblo Maxi 2019 bon etat avendre,https://www.tayara.tn/item/engins-agricoles/gafsa/gafsa/vente-voiture-bon-etat/69a9b5f8a7464602a76dbf7c/,,111111111,,,,,,,,vente voiture bon etat,,,,,,,,,,,,,
voiture,https://www.tayara.tn/item/voitures/mdenine/zarzis/voiture-neuf/69a876a73d8f182d4ceb24fc/,,44000,,Gris,4,140000,,,Avec kilométrage,voiture neuf,Fabia,Manuelle,,Skoda,,2020,Essence,,Compacte,,,,<1.0L
"A vendre seat ibiza
année 2022
boîte automatique 
1ère main 
44 km
TEL",https://www.tayara.tn/item/voitures/ben-arous/el-mourouj-6/a-vendre-voiture-seat-ibiza-etat-neuf/69a85cced0d74c5f580d52fc/,,65,,Gris,6,44,,,Nouveau,A vendre Voiture SEAT IBIZA Etat Neuf,Ibiza,Automatique,,Seat,,2022,Essence,,Compacte,,,,<1.0L
"كرهبة نظيفة من عام 2012 موتور مبدل جديد toute option موجودة بصفاقس طريق ڤرمدة كلم 6 
الرقم:
Afficher le numéro",https://www.tayara.tn/item/voitures/sfax/route-gremda/voiture/69a9ebb044d281995954e968/,,23000,,Camel,5,250000,,,Avec kilométrage,voiture,Symbol,Manuelle,,Renault,,2012,Essence,,Autres,,,,>4.0L
"A vendre une belle voiture Megane casquette disponible a monastir 
Moteur jdid 
Tableau de bord comme neuf 
pneu neuf
Climatiseur / chauffage 
Karhba ndhifa brcha mte3 ksiba",https://www.tayara.tn/item/voitures/monastir/monastir/megane/69a881fd3d8f182d4ceb284b/,,17,,Jaune,5,400,,,Avec kilométrage,Megane,Megane,Manuelle,,Renault,,2006,Diesel,,Compacte,,,,1.5L
"✅️ Entretien Régulier Effectué
✅️ Équipements Complets et Confortables 
✅️ Toit Ouvrant Panoramique
✅️ Caméra 360°
✅️ Kilométrage Réel 
✅️ Voiture Importée , immatriculation tunisienne actuelle ( Matricule 234 )
✅️ Double Clé 
- La voiture est propre à l'intérieur et à l'extérieur, prête à être utilisée sans frais supplémentaire.
💰 Prix = ( 64500 D - Négociable Pour Les Acheteurs Sérieux )",https://www.tayara.tn/item/voitures/tunis/tunis/-vendre-nissan-qashqai-2018-excellent-tat/69a9965644d281995954c617/,,64500,,Blanc,6,218000,,,Avec kilométrage,À Vendre : Nissan Qashqai 2018 - Excellent État,Qashqai,Automatique,,Nissan,,2018,Essence,,,,,,>4.0L
"Voiture en très bon état.
1 seul conducteur",https://www.tayara.tn/item/voitures/tunis/tunis/peugeot-3008-allure-12l-bva/69aac47444d2819959553934/,,60000,,Orange,7,130000,,,,Peugeot 3008 Allure 1.2L BVA,,Automatique,,Peugeot,,2021,Essence,,,,,,1.2L
"une voiture commerciale bien entretenue importe d allemagne en 2024 en tres bonne etat 
pour tout information veuillez appeler ce numero
Afficher le numéro
merci",https://www.tayara.tn/item/voitures/tunis/le-kram/opel-combo-a-vendre/69a91a9ca7464602a76d7672/,,0,,Gris,5,250000,,,Avec kilométrage,opel combo a vendre,Combo,Manuelle,,Opel,,2019,Diesel,,Utilitaire,,,,1.6L
"☎️ Peugeot expert 4 ( voiture neuve
-💵prix 58000
☎️ Tél
Afficher le numéro
-⏩année : 4/2021
-⏩serie :259
-⏩puissance fiscale : 6Chv
-⏩ énergie : diesel
-⏩cylindrée : 4 cylindre
-⏩ puissance : 1.5
-⏩kilométrage : 158000
-⏩boite manuelle ( boîte 6)
-⏩vitres : 2 vitres électriques
-⏩ Caméra de recul
-⏩ climatronic Bizone
-⏩ rétroviseur rabattable
-⏩ bouton star stop
etc.
🚘Voiture très Propre et très bien entretenue ( neuve)",https://www.tayara.tn/item/camions/bizerte/bizerte-nord/peugeot-expert-4/69a83963d0d74c5f580d4599/,,58000,,,,,,,,Peugeot expert 4,,,,,,,,,,,,,
"voiture de collection gs Citroën année 70 à vendre système Hydrolique tout en marche 
voiture en très très bon état",https://www.tayara.tn/item/voitures/ben-arous/mornag/voiture-de-collection-citron-gs-anne-70-systme-hydrolique/69a8b084d0d74c5f580d6de0/,,16000,,Blanc,6,30000,,,Avec kilométrage,voiture de collection Citroën gs année 70 - système Hydrolique,DS,Manuelle,,Citroen,,1973,Essence,,Compacte,,,,1.6L
"🧱 Immeuble R+2 à vendre – 340 m² de terrain

📍 Emplacement coin de rue – Quartier résidentiel

RDC : 3 garages + studio + garage voiture

1er étage : étage de villa (salons, 4 chambres, jardin d’hiver, jacuzzi)

2e étage : à aménager (2 apparts S+3)

✅ Construction récente
✅ Terrasse grès
✅ Fort potentiel locatif & habitation

📞 Appelez au
ou message privé",https://www.tayara.tn/item/maisons-et-villas/nabeul/nabeul/-immeuble-r2-vendre-340-m-de-terrain/69a98ac144d281995954c11d/,,1320000,,,,,,360,,🧱 Immeuble R+2 à vendre – 340 m² de terrain,,,,,,,,À Vendre,,4,,4,
3 chambres 2 sale de bain jardin portail électrique alarme garage voiture store électrique,https://www.tayara.tn/item/maisons-et-villas/ariana/raoued/villa-maison-duplex-raoued-a-vendre-33781840786/69a9b74144d281995954d3ed/,,339000,,,,,,138,,VILLA MAISON DUPLEX À RAOUED A VENDRE +33781840786,,,,,,,,À Vendre,,2,,3,
À vendre voiture très bon état,https://www.tayara.tn/item/voitures/nabeul/bni-khalled/-vendre-citron-c-lyse/69a9e8fca7464602a76dd460/,,28000,,Noir,5,137000,,,,À vendre Citroën C Élysée,C-Elysée,Manuelle,,Citroen,,2015,Essence,,Berline,,,,
"Avendre tres belle voiture importée de France qui n'a roulé que 51000 KLM ,bien entretenu avec carnet d'entretien, première main,non fumeur ,peinture d'origine avec toutes les fonctions ,climatiseur,Bluetooth, 5 cv annee' 07/2013..rien a' prevoir.Tel:
Afficher le numéro
et sur whattsap
Afficher le numéro
33",https://www.tayara.tn/item/voitures/sousse/chatt-mariem/dacia-stepway-importe/69aa58f6a7464602a76dfad0/,,39500,,Bleu,5,510000,,,Avec kilométrage,Dacia Stepway importe',Sandero,Manuelle,,Dacia,,2013,Essence,,Autres,,,,<1.0L
je met en vente voiture peugeot 308 en trés bon état,https://www.tayara.tn/item/voitures/tunis/le-bardo/voiture/69a8baf793de518e9f2791a2/,,400000,,Blanc,6,130000,,,Avec kilométrage,voiture,308,Manuelle,,Peugeot,,2019,Essence,,Autres,,,,1.2L
"voiture etat neuf mtee3 kesba
Afficher le numéro",https://www.tayara.tn/item/voitures/mahdia/chorbane/clio-chippie/69aab3e444d2819959552fb1/,,8500,,Blanc,04,500,,,Avec kilométrage,clio chippie,Clio,Manuelle,,Renault,,2000,Essence,,Autres,,,,<1.0L
